55,"t","Agricultural Chemical Usage 2006 Restricted Use Summary: Released October 3, 2007, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
55,"t","Asparagus:  Agricultural Chemical Applications,"
55,"t","Restricted Use Pesticides,"
55,"t","Program States, 2006 1/"
55,"h","","","","","",""
55,"h","Restricted Use","Area","Appli-","Rate per","Rate per","Total"
55,"h","Pesticide","Applied","cations","Application","Crop Year","Applied"
55,"h","","","","","",""
55,"u","","Percent","Number","Pounds per Acre","Pounds per Acre","1,000 lbs"
55,"d","",,,,,
55,"d","Herbicides",,,,,
55,"d","  Paraquat",6,1.3,0.646,0.848,2.3
55,"d","",,,,,
55,"d","Insecticides",,,,,
55,"d","  Chlorpyrifos",24,1.2,0.923,1.118,12.2
55,"d","  Disulfoton",32,1.1,1.001,1.114,16.5
55,"d","  Permethrin",16,2.8,0.105,0.291,2.1
55,"c",""
55,"f","1/  Planted  acreage in 2006 for the 3 Program States was 46,200 acres."
55,"f","^ ^  States included are CA, MI, and WA."
