63,"t","Agricultural Chemical Usage 2006 Restricted Use Summary: Released October 3, 2007, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, U.S. Department of Agriculture."
63,"t","Celery:  Agricultural Chemical Applications,"
63,"t","Restricted Use Pesticides,"
63,"t","Program States, 2006 1/"
63,"h","","","","","",""
63,"h","Restricted Use","Area","Appli-","Rate per","Rate per","Total"
63,"h","Pesticide","Applied","cations","Application","Crop Year","Applied"
63,"h","","","","","",""
63,"u","","Percent","Number","Pounds per Acre","Pounds per Acre","1,000 lbs"
63,"d","",,,,,
63,"d","Insecticides",,,,,
63,"d","  Abamectin",34,1.8,0.011,0.020,0.2
63,"d","  Emamectin benzoate",14,1.1,0.010,0.011,"( 2/ )"
63,"d","  Methomyl",25,1.3,0.791,0.996,6.1
63,"d","  Oxamyl",35,1.2,0.750,0.894,7.7
63,"d","  Permethrin",59,1.6,0.163,0.259,3.7
63,"d","  Zeta-cypermethrin",47,2.0,0.047,0.094,1.1
63,"c",""
63,"f","1/  Planted acreage in 2006 for California was 24,500 acres."
63,"f","2/  Total applied is less than 50 lbs."
